source_id,case_group,title,source_type,publisher,date,official_level,format,url,priority,summary,ontology_value,suggested_extraction
HX01,华夏幸福,华夏幸福2020年年度报告,年度报告,华夏幸福/公告镜像,2021-04-30,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=7211108,高,风险暴露前后的经营、融资、资产负债、现金流、担保和重大事项基础材料。,适合抽取公司、子公司、债务、融资、项目、担保、诉讼、现金流和风险事件。,Company; Subsidiary; FinancialDebt; FinancingEvent; Project; Guarantee; CashFlow; Litigation
HX02,华夏幸福,华夏幸福2021年年度报告,年度报告,上海证券交易所,2022-04-29,官方,PDF,https://www.sse.com.cn/disclosure/bond/announcement/company/c/new/2022-04-29/155273_20220429_2_xCzho6I0.pdf,高,包含流动性风险、债务重组、持续经营重大不确定性及债务结构的重要披露。,适合形成“风险暴露—债务逾期—重组计划—持续经营不确定性”时间链。,LiquidityRisk; OverdueDebt; DebtRestructuringPlan; AuditOpinion; GoingConcernUncertainty
HX03,华夏幸福,华夏幸福2022年年度报告,年度报告,华夏幸福/公告镜像,2023-04-29,交易所披露文件镜像,HTML（页面含公告下载入口）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9180189&stockid=600340,高,跟踪债务重组实施、资产处置、债务偿付和项目经营恢复情况。,用于抽取重组协议、债权人、偿债工具、资产处置和项目交付关系。,RestructuringAgreement; Creditor; DebtSettlement; AssetDisposition; ProjectDelivery
HX04,华夏幸福,华夏幸福2023年年度报告,年度报告,华夏幸福/公告镜像,2024-04-30,交易所披露文件镜像,HTML（页面含公告下载入口）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=10153690&stockid=600340,高,继续披露债务重组、诉讼仲裁、资产处置及审计强调事项。,用于更新重组进度、法律程序、债务余额和审计意见。,DebtBalance; Litigation; Arbitration; AuditEmphasis; RestructuringProgress
HX05,华夏幸福,华夏幸福2024年年度报告,年度报告,华夏幸福/公告镜像,2025-04-30,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11076193,高,预重整前最近一期完整年度披露，可用于观察债务、资产、诉讼和持续经营状态。,连接协议重组阶段与后续司法预重整阶段。,GoingConcern; OverdueDebt; Litigation; Asset; RestructuringStatus; RiskWarning
HX06,华夏幸福,关于债务逾期、债务重组进展等事项的公告,风险公告,华夏幸福/公告镜像,2024-01-13,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=9780289&stockid=600340,高,披露未如期偿还债务余额、已重组金额及股权抵债等进展。,适合抽取债务逾期事件、重组金额、股权抵债工具和时间序列。,OverdueEvent; RestructuredAmount; EquitySettlementPlatform; FinancialDebt
HX07,华夏幸福,关于被债权人申请预重整及重整暨法院受理预重整的公告,司法程序公告,华夏幸福/公告镜像,2025-11-17,交易所披露文件镜像,HTML（页面含公告下载入口）,https://vip.stock.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11610936,高,披露债权人申请、法院受理和预重整程序启动。,用于建模申请人、债务人、法院、预重整程序、受理决定和申请理由。,ApplicantCreditor; Debtor; Court; PreRestructuringProceeding; AcceptanceDecision
HX08,华夏幸福,关于公司预重整债权申报的公告,司法程序公告,华夏幸福/公告镜像,2025-11-18,交易所披露文件镜像,HTML（页面含公告下载入口）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11612144&stockid=600340,高,披露债权申报期限、申报内容、债权性质和担保信息要求。,适合定义债权、债权申报、担保债权、连带债务人和证据材料。,Claim; ClaimFiling; SecuredClaim; JointDebtor; EvidenceDocument
HX09,华夏幸福,关于被债权人申请预重整及重整的专项自查报告,专项自查,华夏幸福/公告镜像,2025-11-19,交易所披露文件镜像,HTML（页面含公告下载入口）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11616767&stockid=600340,中,公司对预重整申请相关事项进行自查，提供程序背景和风险提示。,用于抽取自查行为、风险披露、清偿能力和重整价值判断。,SelfInspection; Solvency; RestructuringValue; RiskDisclosure
HX10,华夏幸福,关于临时管理人公开招募和遴选重整投资人暨风险提示的公告,司法程序公告,华夏幸福/公告镜像,2026-03-02,交易所披露文件镜像,HTML（页面含公告下载入口）,https://money.finance.sina.com.cn/corp/view/vCB_AllBulletinDetail.php?id=11976212&stockid=600340,高,披露临时管理人、重整投资人招募、遴选条件和风险提示。,适合定义临时管理人、重整投资人、招募程序、遴选条件和投资方案。,TemporaryAdministrator; RestructuringInvestor; Recruitment; SelectionCriteria; InvestmentPlan
